               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 130,            0.032821,            0.036476,            0.027306,             0.78506,             0.53829,             0.56697,             0.39453,            0.025764,            0.034639,            0.023578,           0.0035203,           0.0035203,           0.0035203
                 131,            0.033777,            0.038456,            0.028202,             0.81583,             0.53773,              0.5721,             0.39542,            0.025461,            0.034319,            0.023343,            0.003457,            0.003457,            0.003457
                 132,            0.034434,            0.038412,            0.027135,             0.72636,             0.58758,             0.58003,             0.40864,            0.026067,            0.034038,            0.023058,           0.0033943,           0.0033943,           0.0033943
                 133,            0.036526,            0.040976,            0.026724,             0.89255,             0.49922,             0.58467,             0.41877,            0.025414,            0.034075,            0.022808,           0.0033321,           0.0033321,           0.0033321
                 134,            0.036312,            0.039267,            0.026891,             0.88233,             0.50815,             0.58525,             0.41696,            0.025625,            0.034315,             0.02276,           0.0032704,           0.0032704,           0.0032704
                 135,             0.03342,            0.038305,            0.026649,             0.89312,             0.50148,             0.58339,             0.41987,             0.02491,            0.034041,            0.022757,           0.0032093,           0.0032093,           0.0032093
                 136,            0.032347,            0.038469,            0.026481,             0.90863,             0.48303,              0.5808,             0.41516,            0.024367,            0.033902,            0.022596,           0.0031488,           0.0031488,           0.0031488
                 137,            0.034512,            0.040737,            0.026375,             0.76578,             0.58459,             0.58131,             0.41373,            0.024879,            0.033699,            0.022438,           0.0030888,           0.0030888,           0.0030888
                 138,            0.035683,             0.03934,            0.025425,             0.76929,             0.58228,             0.58521,             0.40876,            0.026638,            0.034467,            0.022378,           0.0030294,           0.0030294,           0.0030294
                 139,            0.034211,            0.037981,            0.026892,              0.7694,             0.58813,               0.585,             0.41586,            0.024832,            0.034114,            0.022381,           0.0029706,           0.0029706,           0.0029706
                 140,            0.032887,            0.040057,            0.026661,             0.84916,             0.51578,             0.58605,             0.42147,            0.024157,            0.034004,            0.022202,           0.0029125,           0.0029125,           0.0029125
                 141,            0.034783,            0.037871,            0.025223,             0.85724,             0.51814,              0.5851,             0.42604,             0.02458,            0.033618,            0.022105,            0.002855,            0.002855,            0.002855
                 142,             0.03305,            0.036553,             0.02487,             0.85187,             0.52098,             0.58517,              0.4258,            0.024606,            0.034034,             0.02185,           0.0027981,           0.0027981,           0.0027981
                 143,             0.03264,            0.038333,            0.026236,             0.80969,             0.54409,              0.5875,              0.4098,             0.02508,            0.034176,            0.021583,           0.0027419,           0.0027419,           0.0027419
                 144,            0.033213,            0.037238,             0.02608,             0.93551,             0.48908,              0.5949,              0.4247,            0.023433,            0.033478,            0.021403,           0.0026864,           0.0026864,           0.0026864
                 145,            0.033624,            0.039111,            0.024891,             0.93288,             0.49512,             0.59916,             0.41884,            0.025184,            0.034187,            0.021261,           0.0026316,           0.0026316,           0.0026316
                 146,            0.034548,            0.039304,            0.024885,             0.92904,             0.49269,             0.60313,             0.42231,            0.024544,            0.034531,            0.021132,           0.0025775,           0.0025775,           0.0025775
                 147,            0.034326,            0.039801,            0.025447,             0.92247,             0.50259,             0.59974,             0.43181,            0.023974,            0.034043,            0.021033,           0.0025241,           0.0025241,           0.0025241
                 148,            0.032013,            0.037126,            0.026279,             0.91171,             0.52056,             0.60262,             0.42755,            0.022447,            0.033668,            0.020864,           0.0024714,           0.0024714,           0.0024714
                 149,            0.033104,            0.038709,            0.025024,             0.91116,             0.52648,             0.61245,             0.45187,            0.022852,            0.033345,            0.020582,           0.0024195,           0.0024195,           0.0024195
                 150,            0.031669,            0.039314,            0.024249,              0.9145,             0.52394,             0.61053,             0.43895,            0.023297,            0.033992,            0.020523,           0.0023684,           0.0023684,           0.0023684
                 151,            0.031813,            0.039056,            0.025075,             0.91453,              0.5242,             0.60609,             0.44756,            0.022944,            0.033503,            0.020442,            0.002318,            0.002318,            0.002318
                 152,            0.031425,            0.037826,            0.023608,             0.90922,              0.5243,              0.6083,             0.44878,            0.022994,            0.033472,             0.02033,           0.0022684,           0.0022684,           0.0022684
